#,Name,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Type 1,Type 2,Img Link,Descrição,Descrição Pt-Br
776,Turtonator,485,60,78,135,91,85,36,Fire,Dragon,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/aa9800c65076bfc5f7282d358f4046fb88600032.png,"With the long hairs on its back, this Pokémon takes in electricity from other electric Pokémon. It stores what it absorbs in an electric sac.","Com longos pelos nas costas, este Pokémon absorve eletricidade de outros Pokémon elétricos. Ele armazena o que absorve em um saco elétrico."
777,Togedemaru,435,65,98,63,40,73,96,Electric,Steel,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/53b743e93280fd3993d12bc4dbcce5e43e9402e6.png,"This Pokémon lives in dark places untouched by sunlight. When it appears before humans, it hides itself under a cloth that resembles a Pikachu.","Este Pokémon vive em locais escuros, intocados pela luz solar. Quando aparece diante dos humanos, ele se esconde sob um pano que lembra um Pikachu."
778,Mimikyu,476,55,90,80,50,105,96,Ghost,Fairy,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/ab3dd59cf20bccb134ceb7cf4b14d40d7f627c58.png,It grinds its teeth with great force to stimulate its brain. It fires the psychic energy created by this process from the protuberance on its head.,Ele range os dentes com grande força para estimular o cérebro. Ele dispara a energia psíquica criada por esse processo a partir da protuberância em sua cabeça.
779,Bruxish,475,68,105,70,70,70,92,Water,Psychic,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/2bd471fe25084f2270cb90d286df18ed99d3f176.png,"The mountains it calls home are nearly two miles in height. On rare occasions, it descends to play with the children living in the towns below.","As montanhas que chama de lar têm quase três quilômetros de altura. Em raras ocasiões, desce para brincar com as crianças que moram nas cidades abaixo."
780,Drampa,485,78,60,85,135,91,36,Normal,Dragon,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/bd916fc4b74f3f66a81a0e6622e5cd3c967350b6.png,"After a piece of seaweed merged with debris from a sunken ship, it was reborn as this ghost Pokémon.","Depois que um pedaço de alga marinha se fundiu com os destroços de um navio naufragado, ele renasceu como este Pokémon fantasma."
781,Dhelmise,517,70,131,100,86,90,40,Ghost,Grass,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/6c88c4cd80099525728cb37c78fafa2046b4a9e2.png,"The scale atop its head is useful for both offense and defense. It bravely stands and faces its foes rather than turning tail, even if its foes are strong.","A escala no topo de sua cabeça é útil tanto para ataque quanto para defesa. Ele corajosamente se levanta e enfrenta seus inimigos em vez de virar as costas, mesmo que seus inimigos sejam fortes."
782,Jangmo-o,300,45,55,65,45,45,45,Dragon,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/1a31d813f83ef5dfdb288b57e201fa825d1b6c64.png,It gets into fistfights so intense that the scales on its arms peel off. Bare arms are a sign of valiance.,Ele se envolve em brigas tão intensas que as escamas de seus braços se desprendem. Braços nus são um sinal de valentia.
783,Hakamo-o,420,55,75,90,65,70,65,Dragon,Fighting,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/7d30c73276cc9fd76c89aa23ce34c3cf7fc185cb.png,"It lets its arm hang, and then—quick as a flash— swings upward to land its specialty punch and send the opponent flying high into the sky.",Ele deixa o braço pendurado e então - rápido como um flash - balança para cima para acertar seu soco especial e enviar o oponente voando alto para o céu.
784,Kommo-o,600,75,110,125,100,105,85,Dragon,Fighting,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/1482c117ffa98807a8a860c43bdd444dbbc5635b.png,"Although it's called a guardian deity, if a person or Pokémon puts it in a bad mood, it will become a malevolent deity and attack.","Embora seja chamada de divindade guardiã, se uma pessoa ou Pokémon o deixar de mau humor, ele se tornará uma divindade malévola e atacará."
785,Tapu Koko,570,70,115,85,95,75,130,Electric,Fairy,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/5bb5f4bd8f7164cda62a554bbec44cde53fd87c0.png,It heals the wounds of people and Pokémon by sprinkling them with its sparkling scales. This guardian deity is worshiped on Akala.,Ele cura as feridas de pessoas e Pokémon borrifando-os com suas escamas brilhantes. Esta divindade guardiã é adorada em Akala.
786,Tapu Lele,570,70,85,75,130,115,95,Psychic,Fairy,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/a30e8adcdad135f9ea1795c23c4b5165b71039ab.png,"Although it's called a guardian deity, it's violent enough to crush anyone it sees as an enemy.","Embora seja chamada de divindade guardiã, é violenta o suficiente para esmagar qualquer um que considere inimigo."
787,Tapu Bulu,570,70,130,115,85,95,75,Grass,Fairy,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/44a49ddad9eaed53bd57f5a7e85f80543ec07f03.png,"This guardian deity of Poni Island manipulates water. Because it lives deep within a thick fog, it came to be both feared and revered.","Esta divindade guardiã da Ilha Poni manipula a água. Por viver nas profundezas de uma névoa espessa, passou a ser temido e reverenciado."
788,Tapu Fini,570,70,75,115,95,130,85,Water,Fairy,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/639792f18b3e75183a7d676dfb32507872bfd7fc.png,"Even though its helpless, gaseous body can be blown away by the slightest breeze, it doesn't seem to care.","Mesmo que seu corpo indefeso e gasoso possa ser levado pela mais leve brisa, ele não parece se importar."
789,Cosmog,200,43,29,31,29,31,37,Psychic,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/6ce15c0f99f50c2df645c6cae1efde9591c044ca.png,The king who ruled Alola in times of antiquity called it the cocoon of the stars and built an altar to worship it.,O rei que governou Alola nos tempos antigos chamou-o de casulo das estrelas e construiu um altar para adorá-lo.
790,Cosmoem,400,43,29,131,29,131,37,Psychic,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/3084f3f24323befd29db6ff3aa1eb147ffacf8b3.png,Sometimes the result of its opening an Ultra Wormhole is that energy and life-forms from other worlds are called here to this world.,"Às vezes, o resultado da abertura de um Ultra Wormhole é que energia e formas de vida de outros mundos são chamadas aqui para este mundo."
791,Solgaleo,680,137,137,107,113,89,97,Psychic,Steel,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/565ab7b35666fe2234fa1b8865ce9e9727d7a23d.png,"Records of it exist in writings from long, long ago, where it was known by the name the beast that calls the moon.","Existem registros disso em escritos de muito, muito tempo atrás, onde era conhecido pelo nome de besta que chama a lua."
792,Lunala,680,137,113,89,137,107,97,Psychic,Ghost,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/5358c3df3d6f1744b31831c1ed7185a55f796714.png,"A life-form from another world, it was dubbed a UB and is thought to produce a strong neurotoxin.","Uma forma de vida de outro mundo, foi apelidada de UB e acredita-se que produza uma forte neurotoxina."
793,Nihilego,570,109,53,47,127,131,103,Rock,Poison,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/db24643dfeb6c3a050669060db0450638b1569cb.png,"Although it's alien to this world and a danger here, it's apparently a common organism in the world where it normally lives.","Embora seja estranho a este mundo e seja um perigo aqui, aparentemente é um organismo comum no mundo onde normalmente vive."
794,Buzzwole,570,107,139,139,53,53,79,Bug,Fighting,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/3e1f5e499614c3cb42fc0384fd2d3e5a33a3d3f5.png,"A life-form that lives in another world, its body is thin and supple, but it also possesses great power.","Uma forma de vida que vive em outro mundo, seu corpo é fino e flexível, mas também possui grande poder."
795,Pheromosa,570,71,137,37,137,37,151,Bug,Fighting,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/293838ab9f4f1c567d6e618173cbb735b6a4bf87.png,"Although it's alien to this world and a danger here, it's apparently a common organism in the world where it normally lives.","Embora seja estranho a este mundo e seja um perigo aqui, aparentemente é um organismo comum no mundo onde normalmente vive."
796,Xurkitree,570,83,89,71,173,71,83,Electric,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/2f27eb51d96cc65921f0055ac12d5808beb5cd2c.png,"One of the dangerous UBs, high energy readings can be detected coming from both of its huge arms.","Um dos UBs perigosos, leituras de alta energia podem ser detectadas provenientes de ambos os seus enormes braços."
797,Celesteela,570,97,101,103,107,101,61,Steel,Flying,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/6ea1b775a45366178e1dd3ceae9e03abaa2b323d.png,"This Ultra Beast's body, which is as thin as paper, is like a sharpened sword.","O corpo desta Ultra Besta, que é fino como papel, é como uma espada afiada."
798,Kartana,570,59,181,131,59,31,109,Grass,Steel,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/d3acf3e200ff8c4a924252c2af4d1cf3a351934b.png,"Although it's alien to this world and a danger here, it's apparently a common organism in the world where it normally lives.","Embora seja estranho a este mundo e seja um perigo aqui, aparentemente é um organismo comum no mundo onde normalmente vive."
799,Guzzlord,570,223,101,53,97,53,43,Dark,Dragon,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/50dc208b42aef0978d1f36192031c4d1d122f54b.png,"It looks somehow pained as it rages around in search of light, which serves as its energy. It's apparently from another world.","Ele parece um tanto angustiado enquanto corre em busca de luz, que serve como sua energia. Aparentemente é de outro mundo."
800,Necrozma,600,97,107,101,127,89,79,Psychic,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/3cb52a53de56e3eae210beb2b7326da6802bce38.png,It synchronizes its consciousness with others to understand their feelings. This faculty makes it useful for taking care of people.,Ele sincroniza sua consciência com a dos outros para compreender seus sentimentos. Essa faculdade o torna útil para cuidar das pessoas.
800,Necrozma Dawn Wings Necrozma,680,97,113,109,157,127,77,Psychic,Ghost,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/ead1338c0e8df78124de5f0a9837ac72e2ec7170.png,"Lunala no longer has a will of its own. Now under the control of Necrozma, it continuously expels all of its energy.","Lunala não tem mais vontade própria. Agora sob o controle de Necrozma, ele expele continuamente toda a sua energia."
800,Necrozma Dusk Mane Necrozma,680,97,157,127,113,109,77,Psychic,Steel,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/05bbd662d68b7a4925798a7593b8115a9abb8182.png,This is its form while it is devouring the light of Solgaleo. It pounces on foes and then slashes them with the claws on its four limbs and back.,Esta é a sua forma enquanto devora a luz de Solgaleo. Ele ataca os inimigos e depois os corta com as garras em seus quatro membros e nas costas.
800,Necrozma Ultra Necrozma,754,97,167,97,167,97,129,Psychic,Dragon,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/fb9533e8cd0659093a6552eae6ffa0abe0e027fb.png,This is its form when it has absorbed overwhelming light energy. It fires laser beams from all over its body.,Esta é a sua forma quando absorve uma energia luminosa avassaladora. Ele dispara raios laser de todo o corpo.
801,Magearna,600,80,95,115,130,115,65,Steel,Fairy,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/71b1313df943a51db42e2c7c18e0a5712250a959.png,"It slips into the shadows of others and mimics their powers and movements. As it improves, it becomes stronger than those it's imitating.","Ele desliza para as sombras dos outros e imita seus poderes e movimentos. À medida que melhora, torna-se mais forte do que aqueles que imita."
802,Marshadow,600,90,125,80,90,90,125,Fighting,Ghost,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/9834f778f2f60db2dc726235ccdcf165ca95c9ce.png,This Ultra Beast is well enough liked to be chosen as a first partner in its own world.,Esta Ultra Besta é bastante apreciada para ser escolhida como primeira parceira em seu próprio mundo.
803,Poipole,420,67,73,67,73,67,73,Poison,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/c30c65d8d05093a751d4ddbeaf2bf995b1dbffc0.png,It stores hundreds of liters of poisonous liquid inside its body. It is one of the organisms known as UBs.,Armazena centenas de litros de líquido venenoso dentro de seu corpo. É um dos organismos conhecidos como UBs.
804,Naganadel,540,73,73,73,127,73,121,Poison,Dragon,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/596aed1d0e10c733aa35553bd7120f4c14809c97.png,It appeared from an Ultra Wormhole. Each one appears to be made up of many life-forms stacked one on top of each other.,Apareceu de um Ultra Wormhole. Cada um parece ser composto de muitas formas de vida empilhadas umas sobre as outras.
805,Stakataka,570,61,131,211,53,101,13,Rock,Steel,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/128171f219211688d817f31beb738885105f69b6.png,"It slithers toward people. Then, without warning, it triggers the explosion of its own head. It's apparently one kind of Ultra Beast.","Ele desliza em direção às pessoas. Então, sem aviso, provoca a explosão de sua própria cabeça. Aparentemente é um tipo de Ultra Beast."
806,Blacephalon,570,53,127,53,151,79,107,Fire,Ghost,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/0c8050bc7cd1ed6da7154284613887fac8a570ac.png,"It electrifies its claws and tears its opponents apart with them. Even if they dodge its attack, they'll be electrocuted by the flying sparks.","Ele eletrifica suas garras e destrói seus oponentes com elas. Mesmo que eles evitem o ataque, serão eletrocutados pelas faíscas voadoras."
807,Zeraora,600,88,112,75,102,80,143,Electric,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/2825d73578419b80d3a244c74ad8210b43818067.png,"It melts particles of iron and other metals found in the subsoil, so it can absorb them into its body of molten steel.","Ele derrete partículas de ferro e outros metais encontrados no subsolo, para que possa absorvê-los em seu corpo de aço fundido."
808,Meltan,300,46,65,65,55,35,34,Steel,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/b687875f5722bcc962d30631b03b254dd9597071.png,"Revered long ago for its capacity to create iron from nothing, for some reason it has come back to life after 3,000 years.","Reverenciado há muito tempo pela sua capacidade de criar ferro a partir do nada, por alguma razão voltou à vida após 3.000 anos."
809,Melmetal,600,135,143,143,80,65,34,Steel,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/c56cdb5a0d8c4977553e3ce0052913c40874ca6f.png,The stick Grookey holds has grown harder and more flexible after soaking in the energy that emanates from inside Grookey's body.,O bastão que Grookey segura ficou mais duro e flexível depois de absorver a energia que emana de dentro do corpo de Grookey.
810,Grookey,310,50,65,50,40,40,65,Grass,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/6855f224855dc4e044ef2b0b73de000c2e15d0c9.png,It skillfully uses its two sticks not only for drumming out rapid beats but also for pummeling opponents during battle.,"Ele usa habilmente suas duas baquetas não apenas para tocar batidas rápidas, mas também para esmurrar os oponentes durante a batalha."
811,Thwackey,420,70,85,70,55,60,80,Grass,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/27d88f3c80242866397ec4170552f70cb9eec0c8.png,"Though it has a calm disposition, it won't tolerate those who drum up discord. It strictly disciplines offenders until they learn their lesson.","Embora tenha uma disposição calma, não tolerará aqueles que provocam discórdia. Disciplina rigorosamente os infratores até que aprendam a lição."
812,Rillaboom,530,100,125,90,60,70,85,Grass,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/2bb147e6a5be97c9f530fcdd244675e4c3ec1b51.png,Gigantamax energy has caused Rillaboom’s stump to grow into a drum set that resembles a forest.,A energia Gigantamax fez com que o coto de Rillaboom se transformasse em uma bateria que lembra uma floresta.
812,Rillaboom Gigantamax,530,100,125,90,60,70,85,Grass,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/b45cd493ca9bdf984d7c132741c5bffe6cc75560.png,"Once its body has heated up, Scorbunny can use the full extent of its power. That's why it does warm-up exercises.","Depois que seu corpo esquentar, Scorbunny pode usar toda a extensão de seu poder. É por isso que faz exercícios de aquecimento."
813,Scorbunny,310,50,71,40,40,40,69,Fire,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/fa5e2bf587b6294472b85b01bacc53854e454e4c.png,"Thanks to its soft and fluffy fur, Raboot can easily heat up its fire energy and produce flames with more power.","Graças ao seu pelo macio e fofo, Raboot pode facilmente aquecer sua energia de fogo e produzir chamas com mais potência."
814,Raboot,420,65,86,60,55,60,94,Fire,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/75ba01425af3c244c3960ab85c30ce9b9201fdad.png,"Although Cinderace loses its cool easily, it will battle flawlessly for a Trainer it trusts.","Embora Cinderace perca a calma facilmente, ela lutará perfeitamente por um treinador em quem confia."
815,Cinderace,530,80,116,75,65,75,119,Fire,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/380669a3b5732c50be49d703272e4beff9fdee64.png,"Infused with Cinderace’s fighting spirit, the gigantic Pyro Ball never misses its targets and completely roasts opponents.","Infundido com o espírito de luta de Cinderace, o gigantesco Pyro Ball nunca erra seus alvos e assa completamente os oponentes."
815,Cinderace Gigantamax,530,80,116,75,65,75,119,Fire,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/fe3ab2772b1cced99847daa5c532bc29025708b4.png,It gets berries to eat by shooting them down with bullets of water it spurts from its mouth. Its aim is perfect.,Ele consegue comer frutas atirando-as com balas de água que jorra de sua boca. Sua mira é perfeita.
816,Sobble,310,50,40,40,70,40,70,Water,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/17f47b8494bbe0fd713de0de5cc7678891d654f0.png,"It extends its long, slimy tongue at blinding speeds and finishes off its prey with great skill.",Ele estende sua língua longa e viscosa em velocidades estonteantes e acaba com sua presa com grande habilidade.
817,Drizzile,420,65,60,55,95,55,90,Water,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/b0ec22a0a8ce7509bce1331c12386e631d496e4c.png,It uses special lenses in its eyes to sense things about its opponents—like their body heat—then attacks once it identifies a weak spot.,Ele usa lentes especiais nos olhos para sentir coisas sobre seus oponentes – como o calor do corpo – e então ataca assim que identifica um ponto fraco.
818,Inteleon,530,70,85,65,125,65,120,Water,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/5960db535a68caa5782c8a47acb669f726e9f20a.png,"Gigantamax Inteleon’s Water Gun move fires at Mach 7. As the Pokémon takes aim, it uses the crest on its head to gauge wind and temperature.","O movimento Water Gun do Gigantamax Inteleon dispara a Mach 7. À medida que o Pokémon mira, ele usa a crista em sua cabeça para medir o vento e a temperatura."
818,Inteleon Gigantamax,530,70,85,65,125,65,120,,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/7dc830a7f01226881e2acaed24d6b09006c81f55.png,"It stores berries in its cheeks. When there are no berries to be found, Skwovet will stuff pebbles into its cheeks to stave off its cravings.","Ele armazena frutas nas bochechas. Quando não há frutas, Skwovet enfia pedrinhas em suas bochechas para afastar seus desejos."
819,Skwovet,275,70,55,55,35,35,25,Normal,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/baaf983333afbde532260636540639c09070aa20.png,"If it spots a berry tree, it will immediately go to gather berries without a sideways glance—even if it’s in the middle of a battle.","Se avistar uma árvore com frutos silvestres, ele irá imediatamente colher os frutos sem olhar de soslaio, mesmo que esteja no meio de uma batalha."
820,Greedent,460,120,95,95,55,75,20,Normal,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/8a54118be74f2468fcdb8127b46b0b00ddc59c0d.png,This Pokémon is brave and reckless. The white markings around a Rookidee’s eyes intimidate fainthearted Pokémon.,Este Pokémon é corajoso e imprudente. As marcas brancas ao redor dos olhos de um Rookidee intimidam Pokémon medrosos.
821,Rookidee,245,38,47,35,33,35,57,Flying,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/d3e8b839dd30e17aa2be412b693e8442f40551ca.png,It’s said that the reason behind Corvisquire’s high level of intelligence is the large size of its brain relative to those of other bird Pokémon.,Diz-se que a razão por trás do alto nível de inteligência do Corvisquire é o grande tamanho do seu cérebro em relação ao de outros Pokémon pássaros.
822,Corvisquire,365,68,67,55,43,55,77,Flying,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/3435d3dd88eef664574a8fb11dafc14be27f62e6.png,"Corviknight can’t serve as a taxi service in Paldea because the Pokémon’s natural predators will attack it while it flies, endangering the customer.","Corviknight não pode servir como serviço de táxi em Paldea porque os predadores naturais do Pokémon irão atacá-lo enquanto ele voa, colocando o cliente em perigo."
823,Corviknight,495,98,87,105,53,85,67,Flying,Steel,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/0578d9fca2f846008b22851320a5a3c529da942f.png,"A constant collector of information, this Pokémon is very smart. Very strong is what it isn’t.","Constante coletor de informações, este Pokémon é muito inteligente. Muito forte é o que não é."
823,Corviknight Gigantamax,495,98,87,105,53,85,67,Flying,Steel,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/62466e7fb05cef4c8e49c288f8153223b9581fb1.png,"Imbued with Gigantamax energy, its wings can whip up winds more forceful than any a hurricane could muster. The gusts blow everything away.","Imbuídas de energia Gigantamax, suas asas podem provocar ventos mais fortes do que qualquer furacão poderia gerar. As rajadas levam tudo embora."
824,Blipbug,180,25,20,20,25,45,45,Bug,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/76ea8fa8379adc9ab739e2ff30affa59af843214.png,"It barely moves, but it’s still alive. Hiding in its shell without food or water seems to have awakened its psychic powers.","Ele mal se move, mas ainda está vivo. Esconder-se em sua concha sem comida ou água parece ter despertado seus poderes psíquicos."
825,Dottler,335,50,35,80,50,90,30,Bug,Psychic,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/9b3f929406fd0bf1c4cfed226cf31909ad58a4dc.png,"It’s famous for its high level of intelligence, and the large size of its brain is proof that it also possesses immense psychic power.","É famoso pelo seu alto nível de inteligência, e o grande tamanho do seu cérebro é prova de que também possui imenso poder psíquico."
826,Orbeetle,505,60,45,110,80,120,90,Bug,Psychic,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/7612d8c931099a7233b4b12b812b381f45a5c936.png,"Aided by the soft pads on its feet, it silently raids the food stores of other Pokémon. It survives off its ill-gotten gains.","Auxiliado pelas almofadas macias dos pés, ele ataca silenciosamente os estoques de alimentos de outros Pokémon. Ele sobrevive de seus ganhos ilícitos."
826,Orbeetle Gigantamax,505,60,45,110,80,120,90,Bug,Psychic,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/21b3c1735709c23fd80c1e939dc7bc9c62ddd4a3.png,"Its brain has grown to a gargantuan size, as has the rest of its body. This Pokémon’s intellect and psychic abilities are overpowering.","Seu cérebro cresceu até um tamanho gigantesco, assim como o resto do corpo. O intelecto e as habilidades psíquicas deste Pokémon são avassaladores."
827,Nickit,245,40,28,28,47,52,50,Dark,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/3f022cb64e1128d57db569578a26724212f3cf50.png,"It secretly marks potential targets with a scent. By following the scent, it stalks its targets and steals from them when they least expect it.","Marca secretamente alvos potenciais com um perfume. Ao seguir o cheiro, ele persegue seus alvos e os rouba quando menos esperam."
828,Thievul,455,70,58,58,87,92,90,Dark,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/b17e046975c85c96267c7b588a839f66679d7955.png,"It anchors itself in the ground with its single leg, then basks in the sun. After absorbing enough sunlight, its petals spread as it blooms brilliantly.","Ele se ancora no solo com uma única perna e depois se aquece ao sol. Depois de absorver luz solar suficiente, suas pétalas se espalham enquanto ela floresce brilhantemente."
829,Gossifleur,250,40,40,60,40,60,10,Grass,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/2228db793fff2d97914423388ecd615d768c145e.png,The seeds attached to its cotton fluff are full of nutrients. It spreads them on the wind so that plants and other Pokémon can benefit from them.,As sementes presas à penugem do algodão estão cheias de nutrientes. Ele os espalha ao vento para que as plantas e outros Pokémon possam se beneficiar deles.
830,Eldegoss,460,60,50,90,80,120,60,Grass,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/0f9274a5a0f2c6b58f5d2e3bbb332bd330fe41db.png,"Its curly fleece is such an effective cushion that this Pokémon could fall off a cliff and stand right back up at the bottom, unharmed.","O seu velo encaracolado é uma almofada tão eficaz que este Pokémon pode cair de um penhasco e ficar no fundo, ileso."
831,Wooloo,270,42,40,55,40,45,48,Normal,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/e5143016fe60e78d51382d55296ce9483059c120.png,"Weave a carpet from its springy wool, and you end up with something closer to a trampoline. You’ll start to bounce the moment you set foot on it.",Faça um tapete com sua lã elástica e você terá algo mais parecido com um trampolim. Você começará a pular no momento em que pisar nele.
832,Dubwool,490,72,80,100,60,90,88,Normal,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/a720acb1b88d2746cc844973d60e2c9d99c52a84.png,"Its large front tooth is still growing in. When the tooth itches, this Pokémon will bite another Chewtle’s horn, and the two Pokémon will tussle.","Seu grande dente frontal ainda está crescendo. Quando o dente coçar, este Pokémon morderá o chifre de outro Chewtle e os dois Pokémon brigarão."
833,Chewtle,284,50,64,50,38,38,44,Water,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/3e51b7753e66e588550a7e870086fe64d4b4b8c4.png,"Its massive, jagged teeth can crush a boulder in a single bite. This Pokémon has an extremely vicious disposition.",Seus dentes enormes e irregulares podem esmagar uma pedra com uma única mordida. Este Pokémon tem uma disposição extremamente cruel.
834,Drednaw,485,90,115,90,48,68,74,Water,Rock,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/e63722b43ffbb8fd05437b93b7232b4321575d90.png,"It responded to Gigantamax energy by becoming bipedal. First it comes crashing down on foes, and then it finishes them off with its massive jaws.",Ele respondeu à energia Gigantamax tornando-se bípede. Primeiro ele desaba sobre os inimigos e depois acaba com eles com suas enormes mandíbulas.
834,Drednaw Gigantamax,485,90,115,90,48,68,74,Water,Rock,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/f9f909811997f8b1370d31e14b93a9246d33b9e5.png,"This Pokémon is very popular as a herding dog in the Galar region. As it runs, it generates electricity from the base of its tail.","Este Pokémon é muito popular como cão pastor na região de Galar. À medida que corre, gera eletricidade a partir da base da cauda."
835,Yamper,270,59,45,50,40,50,26,Electric,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/1512284ef8db6f80f8a947ac3b757497cafa0ef4.png,This Pokémon generates electricity and channels it into its legs to keep them going strong. Boltund can run nonstop for three full days.,Este Pokémon gera eletricidade e a canaliza para suas pernas para mantê-las fortes. Boltund pode funcionar sem parar por três dias inteiros.
836,Boltund,490,69,90,60,90,60,121,Electric,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/ae1561871fc595cd22fcfd4752680307d8232cd2.png,"On sunny days, Rolycoly will come out onto grassy plains and roll around. Then it will eat the grass that gets tangled in its wheel-like leg.","Em dias ensolarados, Rolycoly sai para planícies gramadas e rola. Então ele comerá a grama que fica emaranhada em sua perna em forma de roda."
837,Rolycoly,240,30,40,50,40,50,30,Rock,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/809a83f4863dda71ab9fd47c458454d781a8fbe9.png,The temperature inside its body increases when it experiences strong emotions. It rolls around frantically while spewing flames.,A temperatura dentro do seu corpo aumenta quando ele experimenta emoções fortes. Ele rola freneticamente enquanto vomita chamas.
838,Carkol,410,80,60,90,60,70,50,Rock,Fire,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/987d07964a7ca3d1dd1aaaacd090454bb056f8ce.png,"To intimidate its opponents, Coalossal will vigorously shake its body, scattering coal from its smoldering back.","Para intimidar seus oponentes, Coalossal agita vigorosamente seu corpo, espalhando carvão de suas costas fumegantes."
839,Coalossal,510,110,80,120,80,90,30,Rock,Fire,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/dd71cb3a3af041aff2dfa5c09b0e3360522e2a06.png,It grows by eating the flesh of an apple. Applin uses its own body fluid to strengthen the apple’s skin and prevent it from rotting.,Ela cresce comendo a polpa de uma maçã. Applin usa seu próprio fluido corporal para fortalecer a casca da maçã e evitar que ela apodreça.
839,Coalossal Gigantamax,510,110,80,120,80,90,30,Rock,Fire,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/1cfecbacb6bf1c6aa56c7f34f096bf7f314ac3df.png,"Its body is a colossal stove. With Gigantamax energy stoking the fire, this Pokémon’s flame burns hotter than 3,600 degrees Fahrenheit.","Seu corpo é um fogão colossal. Com a energia Gigantamax alimentando o fogo, a chama deste Pokémon queima mais de 3.600 graus Fahrenheit."
